step,avg_train_loss,val_loss
0,7.906734713333333,8.531721666666668
50,7.623081985,8.10525575
100,7.439125404,7.7544678000000005
150,6.94671522,7.004313999999999
200,6.669409816,6.6007378
250,6.473299744,6.313646800000001
300,6.2914384640000005,6.078375599999999
350,6.091137804000001,5.9033192
400,5.98685358,5.8153842
450,5.852718796,5.652466
500,5.70563586,5.4836182
550,5.5674343,5.3609006
600,5.434274847999999,5.2202984
650,5.231813948000001,5.024754000000001
700,5.068929016,4.9603488
750,4.893682872,4.8221283999999995
800,4.807635892,4.736359
850,4.696779172,4.6602008
900,4.6229897719999995,4.6005786
950,4.521080148,4.435656
1000,4.4549321399999995,4.393316
1050,4.333889376,4.280666200000001
1100,4.2600891,4.228983
1150,4.213301532000001,4.1652156
1200,4.178586792,4.0760924
1250,4.093426612,3.977623
1300,3.913060936,3.963445
1350,3.695072192,3.8852966
1400,3.46043328,3.8272568
1450,3.39738526,3.7751224
1500,3.41188514,3.7408425999999997
1550,3.5309510520000003,3.6585316
1600,3.661887976,3.6271528
1650,3.858105784,3.5806092
1700,3.88854204,3.5704735999999997
1750,3.94226108,3.5717220000000003
1800,3.9965853080000002,3.5889126000000005
1850,3.9910328000000006,3.5728574
1900,3.9229933280000004,3.5349416000000007
1950,3.916585208,3.5035114
2000,3.8662168480000005,3.4596334
2050,3.807772756,3.4058129999999998
2100,3.824007728,3.3754612
2150,3.825181464,3.3684187999999997
2200,3.6970202719999996,3.348135
2250,3.6004990479999996,3.3391788
2300,3.5076368159999993,3.3225207999999995
2350,3.4779045679999996,3.3211953999999997
2400,3.418265012,3.3119758
2450,3.4217373440000003,3.3130727999999996
2500,3.423320812,3.2994100000000004
2550,3.4096722720000003,3.2904153999999997
2600,3.3686515960000003,3.2636393999999997
2650,3.3772735320000002,3.2615589999999997
2700,3.3910316799999998,3.2462830000000005
2750,3.444900268,3.2212240000000003
2800,3.3745107680000004,3.2057018
2850,3.2390837759999997,3.2043266000000004
2900,3.071704252,3.1898139999999997
2950,2.9365226600000005,3.1880464
3000,2.892681132,3.1843815999999996
3050,3.002742016,3.1819906
3100,3.0784357250000003,3.1757977499999996
3150,3.23210606,3.1704229999999995
